stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\franc\source\repos\Dravok\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00472] added dtor for sub_bitmap 000001F272DBF0F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00473] added dtor for sub_bitmap 000001F272DBEB20, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00475] added dtor for sub_bitmap 000001F272DBD3E0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00477] added dtor for sub_bitmap 000001F272DBD5D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00479] added dtor for sub_bitmap 000001F272DBE740, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00480] added dtor for sub_bitmap 000001F272DBD7C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00482] added dtor for sub_bitmap 000001F272DBE930, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00484] added dtor for sub_bitmap 000001F272DBD9B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00486] added dtor for sub_bitmap 000001F272DBE170, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00487] added dtor for sub_bitmap 000001F272DBDBA0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00489] added dtor for sub_bitmap 000001F272DBDD90, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00491] added dtor for sub_bitmap 000001F272DBDF80, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00492] added dtor for sub_bitmap 000001F272DBE360, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00494] added dtor for sub_bitmap 000001F272DBE550, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00496] added dtor for sub_bitmap 000001F272DBFF90, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00498] added dtor for sub_bitmap 000001F272DBF5E0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00500] added dtor for sub_bitmap 000001F272DC0370, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00501] added dtor for sub_bitmap 000001F272DC0560, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00503] added dtor for sub_bitmap 000001F272DC1100, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00505] added dtor for sub_bitmap 000001F272DC0B30, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00506] added dtor for sub_bitmap 000001F272DC0180, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00508] added dtor for sub_bitmap 000001F272DBF9C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00510] added dtor for sub_bitmap 000001F272DC0750, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00512] added dtor for sub_bitmap 000001F272DC0940, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00514] added dtor for sub_bitmap 000001F272DBF7D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00516] added dtor for sub_bitmap 000001F272DC0D20, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00517] added dtor for sub_bitmap 000001F272DC0F10, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00519] added dtor for sub_bitmap 000001F272DBF3F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00521] added dtor for sub_bitmap 000001F272DBFBB0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00523] added dtor for sub_bitmap 000001F272DBFDA0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00525] added dtor for sub_bitmap 000001F272DC1400, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00526] added dtor for sub_bitmap 000001F272DC1FA0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00529] added dtor for sub_bitmap 000001F272DC2380, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00531] added dtor for sub_bitmap 000001F272DC2F20, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00533] added dtor for sub_bitmap 000001F272DC3110, func 00007FFF473D12CB
